OBJECTID,Zip Code,Index Score,Index Quartile,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14, % of New MF Projects Sold at Least Once 2000-14,New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR
1,90001,0.389560915,3,259,19,278,1347052,1497516,0.07336,0.111698732,0.03570,0.13760,3,2,0.666666667,57780,1.2649,46,0,5,14,27,0,0.0000,0.1087,0.3043,0.5870,0.0000
3,90003,0.402007903,3,426,14,440,1635439,1728064,0.03286,0.056636169,0.02300,0.05480,16,1,0.0625,367908,4.1484,235,14,11,42,54,93,0.0654,0.0514,0.1963,0.2523,0.4346
7,90007,0.402986298,3,158,6,164,1321633,1347444,0.03797,0.019529627,-0.01780,0.01930,21,5,0.238095238,2247239,23.7734,1937,153,424,875,387,55,0.0808,0.2239,0.4620,0.2043,0.0290
10,90011,0.38698668,3,329,12,341,1389195,1522183,0.03647,0.095730261,0.05720,0.12299,13,2,0.153846154,470121,6.2992,474,49,170,93,53,9,0.1310,0.4545,0.2487,0.1417,0.0241
15,90016,0.41,3,209,8,217,1426691,1542279,0.03828,0.081018244,0.04120,0.10886,7,1,0.142857143,145615,2.1415,118,0,55,18,24,6,0.0000,0.5340,0.1748,0.2330,0.0583
17,90018,0.394230138,3,171,3,174,1081492,1087753,0.01754,0.005789225,-0.01160,0.00282,5,0,0,136345,1.5085,121,0,45,37,22,5,0.0000,0.4128,0.3394,0.2018,0.0459
23,90025,0.376216783,3,232,9,241,1984758,2095462,0.03879,0.055777077,0.01630,0.03020,66,11,0.166666667,1822323,17.5223,1131,48,55,407,199,7,0.0670,0.0768,0.5684,0.2779,0.0098
30,90033,0.379584599,3,207,4,211,1051817,1065469,0.01932,0.012979444,-0.00622,0.02920,4,0,0,647594,11.1368,545,11,100,147,160,127,0.0202,0.1835,0.2697,0.2936,0.2330
33,90036,0.379542941,3,273,20,293,2336548,3378740,0.07326,0.4460392,0.34733,0.24517,11,3,0.272727273,2989436,33.7872,3260,191,1442,1322,253,0,0.0595,0.4495,0.4121,0.0789,0.0000
37,90041,0.374849079,3,201,10,211,1348347,1430450,0.04975,0.060891595,0.01060,0.12883,4,1,0.25,303102,2.1967,211,2,116,86,7,0,0.0095,0.5498,0.4076,0.0332,0.0000
40,90044,0.380638725,3,225,9,234,1176558,1473306,0.04000,0.25221706,0.20405,0.09110,12,2,0.166666667,426303,3.8834,322,0,130,52,65,75,0.0000,0.4037,0.1615,0.2019,0.2329
41,90045,0.37338851,3,137,7,144,1862654,2191942,0.05109,0.176784309,0.11958,0.13684,13,6,0.461538462,2068036,148.1252,2171,163,987,921,73,0,0.0760,0.4604,0.4296,0.0340,0.0000
42,90046,0.414,3,353,10,363,2291191,2638331,0.02833,0.151510721,0.11979,0.09910,22,8,0.363636364,846746,8.6036,732,76,267,281,55,2,0.1116,0.3921,0.4126,0.0808,0.0029
47,90057,0.409782845,3,137,2,139,1489988,1535582,0.01460,0.030600246,0.01580,0.03200,18,2,0.111111111,793561,7.5581,798,17,221,320,199,19,0.0219,0.2848,0.4124,0.2564,0.0245
48,90059,0.377354799,3,63,8,71,443783,491210,0.12698,0.106869799,-0.01780,0.07360,4,0,0,174687,3.9793,170,0,90,76,2,2,0.0000,0.5294,0.4471,0.0118,0.0118
51,90063,0.398718955,3,135,6,141,585918,606101,0.04444,0.0344468,-0.00957,0.05520,3,0,0,104176,1.9695,89,0,0,19,49,19,0.0000,0.0000,0.2184,0.5632,0.2184
52,90064,0.385750485,3,241,4,245,2529959,2660547,0.01660,0.051616647,0.03440,0.03000,17,5,0.294117647,614550,7.293,407,25,90,190,12,5,0.0776,0.2795,0.5901,0.0373,0.0155
54,90066,0.392235428,3,234,6,240,1127344,1147010,0.02564,0.017444542,-0.00799,0.00015,20,5,0.25,2043566,21.9866,1433,73,623,544,107,0,0.0542,0.4625,0.4039,0.0794,0.0000
57,90069,0.363640167,3,320,18,338,1987588,2235241,0.05625,0.124599766,0.06470,0.15824,11,1,9.09E-02,243041,3.3793,160,0,32,60,25,0,0.0000,0.2735,0.5128,0.2137,0.0000
70,90501,0.389403327,3,204,17,221,1510019,1917574,0.08333,0.269900577,0.17222,0.28273,7,1,0.142857143,74129,1.7584,62,0,1,5,12,0,0.0000,0.0556,0.2778,0.6667,0.0000
78,91303,0.387606963,3,291,7,298,3416744,3608227,0.02405,0.056042536,0.03120,0.02140,9,2,0.222222222,2225889,31.2651,1869,8,974,700,167,10,0.0043,0.5239,0.3765,0.0898,0.0054
87,91331,0.389150288,3,185,14,199,1598757,2008687,0.07568,0.256405445,0.16802,0.22045,3,0,0,103411,3.1049,72,0,14,16,42,0,0.0000,0.1944,0.2222,0.5833,0.0000
93,91352,0.375729519,3,140,5,145,1215112,1268594,0.03571,0.04401405,0.00801,0.04970,6,2,0.333333333,365840,5.9099,299,0,3,44,0,98,0.0000,0.0207,0.3034,0.0000,0.6759
97,91401,0.366995549,3,244,13,257,1563466,1945707,0.05328,0.244483091,0.18153,0.15443,25,6,0.24,438472,7.4182,361,4,19,101,60,35,0.0183,0.0868,0.4612,0.2740,0.1598
102,91411,0.375914831,3,110,7,117,1157853,1278009,0.06364,0.103774832,0.03770,0.12024,13,4,0.307692308,179761,3.4464,162,1,4,88,4,0,0.0103,0.0412,0.9072,0.0412,0.0000
107,91602,0.373418472,3,100,2,102,579965,618595,0.02000,0.066607468,0.04570,0.03420,30,10,0.333333333,922812,11.726,701,0,156,334,98,0,0.0000,0.2653,0.5680,0.1667,0.0000
2,90002,0.359524514,2,67,5,72,338627,353235,0.07463,0.043138911,-0.02930,0.02770,4,3,0.75,205360,2.4951,174,0,39,82,52,1,0.0000,0.2241,0.4713,0.2989,0.0058
20,90021,0.318654143,2,97,26,123,754068,1685848,0.26804,1.235671054,0.76309,0.51254,1,0,0,89780,0.318,88,0,88,0,0,0,0.0000,1.0000,0.0000,0.0000,0.0000
32,90035,0.36013532,2,266,4,270,1656681,1693809,0.01504,0.022411074,0.00726,0.01090,18,4,0.222222222,428149,4.4458,280,0,20,65,49,8,0.0000,0.1408,0.4577,0.3451,0.0563
34,90037,0.357265355,2,230,6,236,1432493,1450474,0.02609,0.012552243,-0.01320,0.03140,11,0,0,569950,4.3886,446,0,200,61,108,41,0.0000,0.4878,0.1488,0.2634,0.1000
39,90043,0.347465267,2,227,4,231,1125546,1152717,0.01762,0.024140284,0.00641,0.03500,5,0,0,296526,3.2666,217,0,201,8,8,0,0.0000,0.9263,0.0369,0.0369,0.0000
43,90047,0.342877305,2,212,10,222,1142664,1387835,0.04717,0.214560886,0.15985,0.39067,3,0,0,301002,4.1263,326,0,182,108,36,0,0.0000,0.5583,0.3313,0.1104,0.0000
45,90049,0.321934404,2,60,2,62,622713,633013,0.03333,0.016540525,-0.01630,0.01610,13,2,0.153846154,600550,5.8987,492,9,73,246,53,0,0.0236,0.1916,0.6457,0.1391,0.0000
49,90061,0.344652908,2,71,12,83,332075,386438,0.16901,0.163706994,-0.00454,0.25201,9,0,0,274827,4.3008,219,0,68,51,41,38,0.0000,0.3434,0.2576,0.2071,0.1919
50,90062,0.357305682,2,92,1,93,490458,490958,0.01087,0.001019455,-0.00974,0.00851,1,0,0,40533,0.1242,34,0,34,0,0,0,0.0000,1.0000,0.0000,0.0000,0.0000
62,90247,0.339079969,2,217,8,225,1680223,1748727,0.03687,0.040770779,0.00377,0.05920,3,1,0.333333333,24601,0.9016,18,0,0,4,14,0,0.0000,0.0000,0.2222,0.7778,0.0000
72,90710,0.318021238,2,67,8,75,489543,605326,0.11940,0.236512421,0.10462,0.41903,1,0,0,3800,0.2445,5,0,0,4,1,0,0.0000,0.0000,0.8000,0.2000,0.0000
73,90731,0.333621156,2,214,7,221,1346643,1570900,0.03271,0.166530402,0.12958,0.09550,5,3,0.6,847807,5.5247,546,35,151,173,71,0,0.0814,0.3512,0.4023,0.1651,0.0000
75,90744,0.327920144,2,190,14,204,1046863,1116090,0.07368,0.066128042,-0.00704,0.05010,4,0,0,358148,13.3695,346,0,130,42,123,51,0.0000,0.3757,0.1214,0.3555,0.1474
76,91040,0.32112171,2,97,2,99,608526,623336,0.02062,0.024337497,0.00364,0.01050,1,0,0,5400,0.32,4,0,0,0,4,0,0.0000,0.0000,0.0000,1.0000,0.0000
77,91042,0.323330061,2,164,13,177,705170,863401,0.07927,0.224387027,0.13446,0.59048,6,2,0.333333333,81826,2.3184,84,0,1,3,21,0,0.0000,0.0400,0.1200,0.8400,0.0000
83,91316,0.312115725,2,94,2,96,1158196,1172380,0.02128,0.012246632,-0.00884,0.00974,4,2,0.5,493966,5.1129,325,0,55,216,54,0,0.0000,0.1692,0.6646,0.1662,0.0000
