OBJECTID,Zip Code,Rank,Neighborhood,% Change in IRS Ratio,% Change in Median Household Size,Change in % White Non Hispanic,"Change in % >=25 with Bachelor's Degrees",% Change in Rent (Inflation Adjusted),Index Score,High to Low AGI Ratio (2000),High to Low AGI Ratio (2014),Median Household Income (2014),Median Household Size (2000),Median Household Size (2013),% White Non-Hispanic (2000),% White Non-Hispanic (2014),"% >=25 w Bachelor's Degree (2000)","% >=25 w Bachelor's Degree (2014)",Median Gross Rent (2000 - Inflation Adjusted),Median Gross Rent 2014,% Change in Median Gross Rent,Median Household Income (2000 - Inflation Adjusted),% Change in Median Houshold Income (Inflation Adjusted),Population (2000),Population (2014),Population Change (2000-2014),Evaluated,Zip,Retail Bldgs 2000,New Retail Bldgs 2000-14,Total Retail Bldgs 2014,Ret Inv 2000 (SF),Ret Inv 2014 (SF),% Change in Retail Bldgs 2000-14,% Change in Retail SF 2000-14,% Chg in Avg Retail Bldg SF 2000-14,Change in Total Acres 2000-14,Input_#3_Zip,New MF Projects 2000-14,MF Projects Sold at Least Once between 2000-14," % of New MF Projects Sold at Least Once 2000-14",New MF SF 2000-14,New MF Acres 2000-14,New MF Units 2000-14,New Studios 2000-14,New 1 BR 2000-14,New 2 BR 2000-14,New 3 BR 2000-14,New 4 BR 2000-14,% Studio,% 1BR,% 2BR,% 3BR,% 4BR,Input_#4_Zip,Bldgs Sold Demo 00-14,MF SF Sold Demo 00-14,MF Total Acres Sold Demo 00-14,MF Sold Demo Average Age,Input_#5_Zip,RET Prop Sold Demoed 01-14,RET SF Sold Demoed 01-14,RET Avg Age Sold Demoed 01-14,RET Acres Sold Demoed 01-14,Input_#6_Zip,2014_Median_HomePrice
11,90012,7,Chinatown/Arts District,-48.23,-4.741,3.89,14.298,43.928,0.548,2.572,1.331,29492,2.32,2.21,12.54,16.43,12.92,27.22,775,1116,0.44,27704.36504,6.45253900394,30577,30029,-1.8,Yes,90012,177,3,180,2232081,2286655,1.69491525423729e-002,2.44498295536766e-002,7.37566572778194e-003,3.95925559100187e-002,90012,23,7,0.304347826086957,4149979,33.3963,3786,505,1326,1255,122,37,0.155624036979969,0.408628659476117,0.386748844375963,3.75963020030817e-002,1.1402157164869e-002,90012,2,12088,1.0796,95,90012,2,21217,54,2.016,90012,447291.666666667
12,90013,2,Downtown/Arts District,-37.339,-1.55,5.306,19.56,74.469,0.68,1.625,1.019,21120,1.29,1.27,20.81,26.12,14.37,33.93,393,686,0.745547073791349,12173.58835,73.49034149,9727,10575,8.7,Yes,90013,133,8,141,2318020,2425753,6.01503759398496e-002,4.64763030517424e-002,-1.28982389653777e-002,9.78234659559617e-002,90013,9,1,0.111111111111111,2163776,32.0928,1712,410,507,315,0,0,0.332792207792208,0.411525974025974,0.255681818181818,0,0,,,,,,90013,4,30717,98.25,0.5051,90013,580291.666666667
13,90014,1,Downtown,-58.747,7.317,26.815,29.511,108.064,0.814,1.978,0.816,17134,1.23,1.32,15.34,42.15,8.71,38.22,296,615,1.0777027027027,11868.38941,44.3666820164,3518,6659,89.3,Yes,90014,94,5,99,2418321,2561040,5.31914893617021e-002,5.90157386054209e-002,5.53009524151067e-003,7.37949911905361e-002,90014,9,2,0.222222222222222,1515164,7.1583,1307,490,333,285,52,0,0.422413793103448,0.287068965517241,0.245689655172414,4.48275862068966e-002,0,,,,,,90014,2,1102000,63.5,3.2779,90014,402375
14,90015,4,Downtown/Pico Union,-72.601,-16.892,5.964,13.476,46.151,0.649,5.086,1.393,28953,2.96,2.46,5.6,11.56,10.92,24.4,593,866,0.460370994940978,25478.61241,13.6364866897,15134,18226,20.4,Yes,90015,374,24,398,4991745,6615948,6.41711229946524e-002,0.325377798745729,0.245455519424379,0.301779381271563,90015,15,7,0.466666666666667,3250019,14.3353,2356,430,980,500,72,8,0.21608040201005,0.492462311557789,0.251256281407035,3.61809045226131e-002,4.02010050251256e-003,90015,1,19602,0.179,110,90015,7,118507,85.7142857142857,2.1372,90015,598208.333333333
15,90016,30,West Adams/Mid-City/Baldwin Hills,-45.588,-3.158,1.752,6.073,25.786,0.41,4.033,2.195,38050,2.85,2.76,3.11,4.86,12.75,18.82,863,1086,0.258400926998841,39976.93683,-4.8201212569,46968,47786,1.7,Yes,90016,209,8,217,1426691,1542279,3.82775119617225e-002,8.10182443149918e-002,4.11650371513055e-002,0.108855754488026,90016,7,1,0.142857142857143,145615,2.1415,118,0,55,18,24,6,0,0.533980582524272,0.174757281553398,0.233009708737864,5.8252427184466e-002,90016,5,32705,0.848,59.8,90016,13,88815,76.0769230769231,4.6007,90016,425370
16,90017,3,Westlake/Downtown,-55.714,-18.627,8.944,18.207,59.384,0.661,3.744,1.658,21009,3.06,2.49,3.49,12.44,3.98,22.19,532,848,0.593984962406015,20411.21019,2.92873281121,20689,23719,14.6,Yes,90017,61,7,68,1651758,1854726,0.114754098360656,0.122879986051225,7.28939925183451e-003,1.35944060990972,90017,22,3,0.136363636363636,3163772,24.6372,3426,592,1416,1039,228,133,0.173708920187793,0.415492957746479,0.304870892018779,6.69014084507042e-002,3.90258215962441e-002,90017,7,73931,1.6049,111.571428571429,90017,2,23048,98,0.722,90017,525604.166666667
17,90018,35,Jefferson Park/Adams-Normandie/Exposition Park,-44.713,1.316,1.766,4.009,24.933,0.394230138,7.223,3.993,32104,3.04,3.08,2.6,4.37,10.19,14.2,774,967,0.249354005167959,32715.40169,-1.8688497112,47127,48852,3.7,Yes,90018,171,3,174,1081492,1087753,1.75438596491228e-002,5.78922451576156e-003,-1.15519690103722e-002,2.81845128449623e-003,90018,5,0,0,136345,1.5085,121,0,45,37,22,5,0,0.412844036697248,0.339449541284404,0.201834862385321,4.58715596330275e-002,90018,2,9704,0.3444,107,90018,3,9957,87,1.329,90018,398708.333333333
18,90019,21,Mid-Wilshire/Mid-City/Arlington Heights,-40.641,-3.226,5.563,9.109,28.594,0.441,2.312,1.372,43244,2.79,2.7,8.72,14.28,21.25,30.36,883,1135,0.285390713476784,43306.62977,-0.144619358127,67510,67606,0.1,Yes,90019,308,12,320,1789522,2154839,3.8961038961039e-002,0.204142223454084,0.158986890074556,0.134987918407103,90019,5,0,0,135967,1.4812,97,0,19,19,33,0,0,0.267605633802817,0.267605633802817,0.464788732394366,0,90019,2,26920,0.4304,96,90019,1,2641,,,90019,786250
19,90020,16,Koreatown/Windsor Square/Hancock Park,-36.953,-3.213,1.557,7.97,30.439,0.472,3.283,2.07,37121,2.49,2.41,9.77,11.33,29.47,37.44,858,1119,0.304195804195804,33280.43216,11.5400179347,42383,39102,-7.7,Yes,90020,114,4,118,1266864,1575602,3.50877192982456e-002,0.243702560022228,0.201543151207915,0.123210420113888,90020,12,3,0.25,683938,4.1523,449,4,105,80,42,0,1.73160173160173e-002,0.454545454545455,0.346320346320346,0.181818181818182,0,90020,12,125756,3.162,81.0833333333333,90020,2,35741,58.5,1.7966,90020,499479.166666667
20,90021,80,Downtown,-47.336,-13.529,2.552,2.806,-1.732,0.318654143,2.025,1.067,12748,1.7,1.47,15.54,18.09,14.44,17.25,415,408,-1.68674698795181e-002,17944.87281,-28.960209777,3003,2913,-3,Yes,90021,97,26,123,754068,1685848,0.268041237113402,1.23567105353894,0.763090180433146,0.512541336824979,90021,1,0,0,89780,0.318,88,0,88,0,0,0,0,1,0,0,0,,,,,,90021,2,6050,63.5,0.2983,,
